Rank,Name,Breed,Gender,Age,End_Of_Watch,Day_Of_Week,Cause,Department,State,Tour,Weapon,Offender,Summary
K9,Boris,Unknown Breed,,,1996-02-13,Tuesday,Gunfire,"Bristol Police Department, Tennessee",Tennessee,,Handgun; 9 mm,,"K9 Boris was shot and killed while assisting in the apprehension of suspects who had shot at a civilian and another officer during an attempted carjacking. Officers were called after a shooting was reported.  Four suspects crashed their vehicle and fled on foot. Two were apprehended without incident. An officer pursued the remaining suspects who fired at least 12 rounds from a 9 mm semi-automatic pistol in response.  K9 Boris assisted officers in tracking the suspects into Bristol, Virginia.  As K9 Boris moved in to apprehend the suspects, who were hiding user a tractor-trailer, they opened fire, killing him."
K9,Ajax,Unknown Breed,Male,6.0,1996-09-19,Thursday,Drowned,"Osceola County Sheriff's Office, Florida",Florida,,Person,,"K9 Ajax was drowned while attempting an apprehension of a burglary suspect behind 4447 West 192nd Street in Kissimmee, Florida.He had been performing a track when his lead became tangled in thick brush. As his handler attempted to free the lead Ajax alerted on the suspect and broke free of the lead. He pursued the subjects further into the woods and failed to return to his handler.Both subjects were arrested, one of whom had dog puncture marks on his arm.Ajax's body was located in the canal following a six-hour search.K9 Ajax had served with the Osceola County Sheriff's Office for four years."
K9,Hunter,German Shepherd,Male,8.0,1996-04-17,Wednesday,Gunfire,"Phoenix Police Department, Arizona",Arizona,5 years,Rifle; Mini 14,,"K9 Hunter was shot and killed while attempting to apprehend a subject who was seen carrying a rifle in the 2900 block of East Cactus Road.When officers attempted to make contact with the man, he ran into the yards of the adjoining houses. K9 Hunter gave pursuit but was shot five times at point blank range by the man, who was armed with a Mini-14. Despite the wounds, Hunter was able to bite the subject before returning to his handler.He was immediately transported to an emergency animal hospital where he succumbed to his wounds.The subject was taken into custody."
K9,Marco,Belgian Malinois,Male,6.0,1996-06-06,Thursday,Gunfire (Inadvertent),"Roseville Police Department, California",California,"1 year, 7 months",,,"K9 Marco was shot and killed after biting an El Dorado County sheriff's deputy during a multi-agency search warrant at a home on Cedar Street.The deputy was positioning himself at the rear of the house when Marco's handler opened the patrol car's door to let him out. Marco immediately ran at the deputy and bit him. Not realizing that Marco was a police canine, the deputy shot him as he was preparing to lunge at him again.Marco had served with the Roseville Police Department for two years."
K9,Jos,Belgian Malinois,Male,,1996-07-07,Sunday,Exposure to toxins,"University of Arizona Police Department, Arizona",Arizona,,,,"K9 Jos was humanely euthanized after inhaling fumes used to make meth.Jos and his handler had been requested to assist another agency search a house as part of a narcotics search warrant. During the search, Jos alerted to a cabinet underneath a sink. When his handler opened the cabinet door Jos continued to sniff inside the cabinet. His handler observed what he believed to be chemicals used for making meth and immediately closed the cabinet, but Jos had already inhaled the dangerous fumes.Jos began to suffer respiratory distress and had to be humanely euthanized as a result.K9 Jos had served with the University of Arizona Police Department for five years."
K9,Bodi,German Shepherd,,,1996-07-26,Friday,Gunfire,"Orange County Sheriff's Office, Virginia",Virginia,,Handgun,Convicted of killing a police dog,K9 Bodi was shot and killed while tracking a suspect who fled on foot following a vehicle pursuit.  
K9,Ralph,Belgian Malinois,Male,3.0,1997-06-23,Monday,Assault,"North Lauderdale Police Department, Florida",Florida,,Person,,K9 Ralph was intentionally drowned by a juvenile suspect he had pursued into a lake in the 7900 block of Hamptons Boulevard.
K9,Lazer,Unknown Breed,,,1997-03-04,Tuesday,Automobile crash,"Homestead Police Department, Florida",Florida,,,,K9 Lazer succumbed to injuries sustained in an automobile accident.
K9,Kimbo,Belgian Malinois,Male,4.0,1997-10-13,Monday,Gunfire,"Hollywood Police Department, Florida",Florida,,Gun; Unknown type,Shot and killed,"K9 Kimbo was shot and killed by a triple-murder suspect who was wanted in Los Angeles, California.Kimbo had tracked the man to some bushes behind a hotel at 1120 South Federal Highway when he was shot. Officers returned fire and killed the subject."
K9,Iron,Belgian Malinois,Male,6.0,1997-01-30,Thursday,Gunfire,"Norfolk Police Department, Virginia",Virginia,3 years,Gun; Unknown type,Killed at the scene,K9 Iron was shot and killed by a home invasion robbery suspect he was tracking. Iron had apprehended the suspect when the suspect shot him. The suspect then exchanged gunfire with the handler; the suspect was killed.
K9,Rondo,German Shepherd,Male,8.0,1997-07-29,Tuesday,Stabbed,"Vallejo Police Department, California",California,4 years,Edged weapon,,"K9 Rondo was stabbed to death while attempting to arrest a hit-and-run suspect.Rondo had served with the Vallejo Police Department for four years and had assisted in more than 50 captures.In 2000, Rondo's handler, Police Officer Jeffry Azuar, was shot and killed in the line of duty in an unrelated incident."
K9,Ajax,German Shepherd,Male,3.0,1997-04-30,Wednesday,Gunfire,"Lake County Sheriff's Department, Indiana",Indiana,,Handgun,Shot and killed,"K9 Ajax was shot and killed while attempting to apprehend a man who had fled from detectives during a traffic stop.As Ajax closed in on the subject the man opened fire on him, shooting him in the mouth, before firing at other officers. The other officers returned fire and killed the subject."
K9,Canto,German Shepherd,Male,6.0,1998-09-24,Thursday,Fire,"Fort Worth Police Department, Texas",Texas,,,,"K9 Canto was killed when the police vehicle he was in caught fire due to an electrical malfunction.K9 Canto and his handler, along with three other canine teams, responded to a silent alarm at a department store inside the Hulen Mall. Due to the other three canine teams having their dogs deployed already, K9 Canto was left inside the police vehicle with the engine running to keep the air conditioner on. As the other teams and K9 Canto's handler exited the mall they noticed that the vehicle's engine had stopped working and it was filled with smoke.  Due to the vehicle's electrical system malfunctioning, officers broke the windows with their batons to rescue K9 Canto and requested a veterinarian on scene. The veterinarian and paramedics spent 45 minutes on the scene administering CPR and oxygen but K9 Canto was pronounced dead at 1:30 a.m.A necropsy determined that K9 Canto died as a result of smoke inhalation. An investigation revealed the fire began in a wiring harness behind the vehicle's emergency brake.K9 Canto served with the Fort Worth Police Department for four years."
K9,Solo,German Shepherd,Male,4.0,1998-06-05,Friday,Gunfire,"Monmouth County Sheriff's Office, New Jersey",New Jersey,,Gun; Unknown type,,"K9 Solo was shot and killed while attempting to apprehend a barricaded subject at a home.The subject had been barricaded inside the home for 22 hours. After other tactics failed to flush the man out, Solo was deployed to make an apprehension. When Solo entered the home he was shot and killed.K9 Solo was a certified patrol dog and was credited with 16 apprehensions and locating 19 missing persons the prior year."
K9,Argo,German Shepherd,Male,9.0,1998-10-03,Saturday,Gunfire,"Fort Worth Police Department, Texas",Texas,,Gun; Unknown type,Shot and killed,K9 Argo succumbed to gunshot wounds sustained the previous day when he was shot by a wanted man in the 7200 block of Lowery Road.The suspect was wanted in connection with the shooting of a Texas Department of Public Safety trooper.K9 Argo and his handler were being assisted by five Fort Worth canine officers and a Texas Ranger as they search a very densely wooded area following a sighting of the suspect by a local resident. As the group was searching the area behind a shed the suspect opened fire. Officers immediately returned fire killing the suspect. K9 Argo was struck twice and his handler was struck once in his chest but the round was stopped by his vest.K9 Argo was taken to a veterinarian hospital where a blood transfusion was performed. K9 Argo was thought to be on a road to recovery when he suffered a relapse the next day and succumbed to his gunshot wounds.
K9,Derrek,German Shepherd,Male,6.0,1998-08-08,Saturday,Gunfire,"Evansville Police Department, Indiana",Indiana,4 years,Handgun; .38 caliber,,"K9 Derrek was shot and killed while attempting an apprehension of a man wanted for carjacking, abduction, and armed robbery.A short time earlier the subject and a female accomplice had carjacked two women, forced them to strip naked, and then had both of them get into the trunk of the car before they drove it away. Two officers unaware of the carjacking stopped the vehicle believing the driver was wanted. After a short vehicle pursuit, the driver fled on foot while the female was taken into custody. The officers then heard banging coming from the trunk and discovered the two victims inside.K9 Derrek and his handler responded to the scene and started to track the suspect. Derrek located the subject hiding inside a large work van at 632 Jackson Street and attempted an apprehension. The suspect immediately opened fire on Derrek, killing him, before firing at his handler. The subject was taken into custody a short time later suffering from a bit to his leg.The man was convicted of attempted murder, abduction, carjacking, and robbery and sentenced to 40 years in prison. He was released from prison in December 2018 after serving 20 years. He was also held civilly liable for the death of K9 Derrek and ordered to repay $100,000 to the Evansville Police Department.K9 Derrek had served with the Evansville Police Department and was cross-trained in patrol and explosives detection."
K9,Callahan,Unknown Breed,,5.0,1998-05-26,Tuesday,Gunfire,"St. Paul Police Department, Minnesota",Minnesota,,Gun; Unknown type,Apprehended,"K9 Callahan was shot and killed as he and his handler assisted homicide detectives search for two murder suspects wanted in Wisconsin.Callahan and his handler were ambushed as they were on a track. One of the suspects opened fire from a hiding spot in thick brush. Callahan immediately attempted a take down on the subject, diverting his gunfire."
K9,Aron,German Shepherd,Male,3.0,1998-05-14,Thursday,Gunfire,"Metro Nashville Police Department, Tennessee",Tennessee,1 year,Handgun,Deceased,"K9 Aron was shot and killed as he and his handler attempted to apprehend a man who had just robbed a bank.Responding officers arrived while the subject was still in the bank. As the man fled, he was confronted by officers and subsequently ran into a nearby wooded area. Aron and his handler tracked the man into the woods but were fired at by the man who was armed with two handguns. Aron's handler shot in the foot and wounded as Aron positioned himself between the subject and his handler. The subject continued shooting, striking Aron.Despite being critically wounded, and unable to use his front legs, Aron was able to push himself back to his handler. He was transported to an emergency animal hospital where he succumbed to his wounds."
K9,Wolf,German Shepherd,Male,7.0,1998-02-28,Saturday,Gunfire,"Escambia County Sheriff's Office, Florida",Florida,3 years,Gun; Unknown type,Sentenced to 5 years,K9 Wolf succumbed to a gunshot wound sustained five days earlier while attempting an apprehension of an auto theft suspect in the area of Massachusetts Avenue and Cemetery Road.The subject had bailed out of the stolen car and fled behind nearby homes. K9 Wolf and his handler tracked the subject through the backyards until being notified he had been spotted nearby. They located the man nearby and K9 Wolf was released for an apprehension. The man shot K9 Wolf in the head during the apprehension.Other officers took the man into custody. He was convicted of several charges and sentenced to five years in prison.K9 Wolf had served with the Escambia County Sheriff's Office for three years.
K9,Max,Unknown Breed,Male,,1999-09-09,Thursday,Gunfire,"Beaver County Sheriff's Office, Utah",Utah,,Rifle; .223 caliber,Convicted,"K9 Max was shot and killed as he and his handler searched a 640-acre compound that had been sold at auction after the owner had failed to pay taxes.The compound's owner was the leader of a religious separatist group that used the compound. As the deputies cleared the compound they were confronted by the man, who opened fire on them with a .223 caliber rifle. K9 Max was severely wounded while his handler was critically wounded.The subject was eventually arrested and convicted of shooting Max's handler."
K9,Baltimore,German Shepherd,Male,5.0,1999-07-15,Thursday,Automobile crash,"Dallas Police Department, Texas",Texas,2 years,,,K9 Balti was killed when the police vehicle he was in was struck by a vehicle on I-35 East at the Laureland Road exit.K9 Balti and his handler were helping a stranded motorist when their vehicle was struck. Bystanders were able to rescue K9 Balti and his partner before the police vehicle caught fire. K9 Balti died at the scene.K9 Balti served with the Dallas Police Department for two years.
K9,Sabre,Unknown Breed,Male,,1999-01-23,Saturday,Gunfire,"Lansing Police Department, Michigan",Michigan,,Gun; Unknown type,Shot and killed,K9 Sabre was shot and killed while attempting to take down an armed subject following a foot pursuit.The subject had broken into the basement of an occupied home while attempting to flee officers. Officers attempted to talk the man into exiting the home but he refused to do so. As entry was made into the home the subject opened fire. Sabre immediately attacked the subject as officers returned fire. Both Sabre and the subject were fatally wounding during the exchange.
K9,Ringo,Unknown Breed,,,1999-08-12,Thursday,Struck by vehicle,"Arizona Department of Public Safety, Arizona",Arizona,,,,K9 Ringo was struck and killed by a vehicle on State Route 77 while off his leash as he and his handler took a break.
K9,Trax,Unknown Breed,,,1999-10-08,Friday,Duty related illness,"Miami-Dade Police Department, Florida",Florida,,,,K9 Trax died when a tumor around his heart burst as he was actively engaging a robbery suspect in the area of NW 46th Street and 25th Avenue.
K9,Quanto,Unknown Breed,,,1999-06-17,Thursday,Gunfire,"Jacksonville Sheriff's Office, Florida",Florida,,Gun; Unknown type,,K9 Quanto was shot and killed while attempting to apprehend an escapee from the Duval County Jail.
K9,Copper,Unknown Breed,,,1999-11-16,Tuesday,Gunfire,"Clay County Sheriff's Office, Kansas",Kansas,,Gun; Unknown type,,"K9 Copper and Deputy Sheriff James Kenney were shot and killed as they assisted other officers arrest a jail escapee.The suspect and two other inmates overpowered two corrections officers and escaped from a local jail. The two other inmates were arrested soon thereafter, however, the suspect escaped to his home. Deputy Kenney, and his canine Copper, went to the house to arrest him and was met with gunfire. Both he and Copper were shot and killed.The suspect was then arrested by other officers and charged with premeditated first-degree murder and with inflicting death on a police dog."
K9,Titan,German Shepherd,Male,4.0,1999-07-10,Saturday,Gunfire,"Jacksonville Sheriff's Office, Florida",Florida,,Handgun,Shot and killed,"K9 Titan was shot and killed after being released on an armed subject following a vehicle pursuit.The pursuit started after an officer made a traffic stop on the vehicle. As the officer waited for backup the vehicle fled and was pursued for several miles until stopping at the end of Colfax Court. One of the occupants of the car immediately exited the vehicle holding a handgun, at which point Titan was released. The subject fatally shot Titan and then fired at the officers, who returned fire and killed him.K9 Titan had served with the Jacksonville Sheriff's Office for two years."
K9,Valco,Belgian Malinois,Male,,2000-07-17,Monday,Gunfire,"Indianapolis Police Department, Indiana",Indiana,,Officer's handgun,,"K9 Valco was accidentally shot and killed by another officer during a drug raid on a home in the 3400 block of North Kenwood Avenue.As K9 Valco and his handler were on the rear of the house his handler stumbled and dropped his leash. K9 Valco ran towards the front of the house where a fellow officer who could not identify him as a police canine shot him three times, killing him.K9 Valco served with the Indianapolis Police Department for one year."
K9,Erny,German Shepherd,Male,3.0,2000-10-12,Thursday,Gunfire,"Escambia County Sheriff's Office, Florida",Florida,"1 year, 5 months",Handgun,Shot and killed,"K9 Erny was shot and killed while attempting an apprehension on an armed subject wanted for robbing a cab driver earlier in the evening.The subject had been tracked by K9 Erny through several yards until the man went through the perimeter that had been set up. K9 Erny continued tracking the man to a vacant lot near the intersection of Massachusetts Avenue and Kelly Avenue. As K9 Erny, his handler, and backup officer entered the lot the man stood up from his concealed position in high weeds and pointed a revolver at the officers. K9 Erny was deployed for an apprehension but was shot in the chest.His handler was then shot in the leg during the ensuing struggle before the backup officer shot and killed the subject.K9 Erny had served with the Escambia County Sheriff's Office for 17 months."
K9,Atlas,Unknown Breed,,,2000-07-23,Sunday,Gunfire,"Miami Police Department, Florida",Florida,,Gun; Unknown type,,K9 Atlas was shot and killed by a robbery suspect in the area of NW 36th Street and 17th Avenue.
K9,Cero,Unknown Breed,,,2000-03-25,Saturday,Gunfire,"Ashtabula County Sheriff's Department, Ohio",Ohio,,Handgun; .22 caliber,Shot and killed,"K9 Cero was shot and killed after being released on a suspect in an active shooter incident.The subject had thrown down a shotgun and started to flee on foot when Cero was deployed. As Cero bit him the man opened fire with a .22 caliber revolver, killing Cero.Officers on scene returned fire, killing the man."
K9,Tramp,Unknown Breed,Male,6.0,2000-10-20,Friday,Struck by vehicle,"Plymouth Township Police Department, Pennsylvania",Pennsylvania,,,,K9 Tramp was struck and killed by a vehicle as he and his handler investigated an alarm call.
K9,Colt,German Shepherd,Male,,2000-06-25,Sunday,Gunfire (Inadvertent),"Chesterfield County Police Department, Virginia",Virginia,5 years,Gun; Unknown type,,"K9 Colt was shot and killed by a police officer after mistakenly biting the officer during a pursuit.The suspect had led officers on a vehicle pursuit until bailing out on foot in a cul-de-sac. K9 Colt was released to apprehend the suspect, but mistakenly bit another officer who was also chasing the subject. The officer shot K9 Colt after being bitten on the arms and legs multiple times.K9 Colt had served with the Chesterfield County Police Department for five years."
K9,Maverick,German Shepherd,,6.0,2000-02-12,Saturday,Struck by vehicle,"Sonoma County Sheriff's Office, California",California,4 years,,,K9 Maverick was struck and killed by a vehicle while pursuing two suspects who had fled on foot following a traffic stop during the graveyard shift.
K9,Ando,German Shepherd,Male,,2000-12-26,Tuesday,Drowned,"LaGrange Police Department, Georgia",Georgia,,,Convicted,K9 Ando drowned while searching for a subject who fled following a vehicle pursuit and foot pursuit.Ando and his handler were searching a heavily wooded area when Ando became separated. His body was found the following morning in a nearby canal.The subject was later apprehended and showed signs that he had been in a struggle with Ando. He was convicted of Ando's death.
K9,Falco,Belgian Malinois,Male,,2000-02-18,Friday,Gunfire,"Jackson County Sheriff's Office, Kansas",Kansas,,Gun; Unknown type,Committed suicide,"K9 Falco was shot and killed by a subject who had just shot his handler.His handler had responded to a residence to perform a welfare check. As soon as he knocked on the door an occupant inside opened fire with a shotgun, striking him twice in the upper body. The deputy retreated to a nearby woodline and called for assistance.As he waited for backup the subject exited the home, approached his cruiser, and shot K9 Falco inside of his kennel.The subject barricaded himself inside his home for approximately two hours before committing suicide."
K9,Ivan,German Shepherd,,,2001-03-02,Friday,Fall,"Sacramento Police Department, California",California,3 years,,,K9 Ivan was killed when he fell from the roof of a two-story building.K9 Ivan had served with the Sacramento Police Department for three years and was credited with apprehending of over 50 suspects.
K9,Buddy,German Shepherd,Male,,2001-07-30,Monday,Gunfire,"Bremerton Police Department, Washington",Washington,,Gun; Unknown type,Sentenced to 7 years,"K9 Buddy was shot and killed after he and his handler responded to reports of gunshots from a city park.Upon searching the area they located two subjects hiding in bushes. Both men tried to run as the officers attempted to arrest them. One of the subject opened fire, shooting Buddy. His handler returned fire, wounding the subject. The man was later convicted of charges in the case and sentenced to seven years."
K9,Ferro,German Shepherd,Male,5.0,2001-12-14,Friday,Struck by vehicle,"Pierce County Sheriff's Department, Washington",Washington,,,,K9 Ferro was struck and killed by a patrol car as he chased a subject who fled during a traffic stop.K9 Ferro's handler had conducted a traffic stop near the intersection of 112th Street and Pacific Avenue in Parkland. The driver fled across the street into a gas station. As K9 Ferro chased the subject he was struck by a patrol car responding to the scene.
K9,Hugo,Unknown Breed,,,2001-10-01,Monday,Heatstroke,"Arizona Department of Public Safety, Arizona",Arizona,,,,"K-9 Hugo died of heat exhaustion after being left for a period of time in his handler's vehicle.  K-9 Hugo's handler was attending a training class for his Department. He left his K-9 Hugo in their patrol vehicle with the air conditioning running. After approximately 40 minutes, the officer returned to his vehicle to check on his partner. He discovered that the air conditioner had malfunctioned and stopped running. Hugo died in the vehicle of heat stroke."
K9,Sirius,Labrador Retriever,Male,4.0,2001-09-11,Tuesday,Terrorist attack,"Port Authority of New York and New Jersey Police Department, New York",New York,"1 year, 2 months",Aircraft; Passenger jet,,"K9 Sirius died in the terrorist attacks of September 11, 2001.  K9 Sirius was in K9 headquarters with his handler when the first plane struck the World Trade Center.  His handler put him in his cage to investigate, and was unable to return before the building collapsed.On the morning of September 11, 2001, seventy-two officers from a total of eight local, state, and federal agencies were killed when terrorist hijackers working for the al Qaeda terrorist network, headed by Osama bin Laden, crashed two of four hijacked planes into the World Trade Center towers in New York City. After the impact of the first plane, putting the safety of others before their own, law enforcement officers along with fire and EMS personnel, rushed to the burning Twin Towers of the World Trade Center to aid the victims and lead them to safety. Due to their quick actions, it is estimated that over 25,000 people were saved.As the evacuation continued, the first tower unexpectedly collapsed due as a result of the intense fire caused by the impact. The second tower collapsed a short time later. 71 law enforcement officers, 343 members of the New York City Fire Department, 1 police K9 and over 2,800 civilians were killed at the World Trade Center site.A third hijacked plane crashed into a field in rural Pennsylvania when the passengers attempted to re-take control of the plane. One law enforcement officer, who was a passenger on the plane, was killed in that crash.The fourth hijacked plane was crashed into the Pentagon in Arlington, Virginia, killing almost 200 military and civilian personnel. No law enforcement officers were killed at the Pentagon.The terrorist attacks resulted in the declaration of war against the Taliban regime, the illegal rulers of Afghanistan, and the al Qaeda terrorist network which also was based in Afghanistan.On September 9, 2005, all of the public safety officers killed on September 11, 2001, were posthumously awarded the 9/11 Heroes Medal of Valor by President George W. Bush.The contamination in the air at the World Trade Center site caused many rescue personnel to become extremely ill, and eventually led to the death of several rescue workers.On May 1, 2011 members of the United States military conducted a raid on a compound in Abbottabad, Pakistan where Osama bin Laden was hiding. During the raid, they shot and killed bin Laden."
K9,Rocco,German Shepherd,Male,3.0,2001-05-16,Wednesday,Fall,"Long Beach Police Department, California",California,4 months,,,K9 Rocco died as a result of the injuries he sustained in a fall.  Rocco had pursued subjects onto the roof of the Museum of Latin American Art and jumped from the roof while in pursuit.  Rocco was left paralyzed with a broken back and was euthanized two days later.
K9,Zeus,Dutch Shepherd,Male,2.0,2002-10-27,Sunday,Gunfire,"Indianapolis Police Department, Indiana",Indiana,,Officer's handgun,,"K9 Zeus was shot and killed by another officer after he attacked the officer during a traffic stop.K9 Zeus and his handler responded to the 3700 block of Rural Street to assist an officer with a search of a vehicle after a suspect fled from the officer. While at the scene one of the subjects from the stop hit K9 Zeus with a lawn chair and was taken into custody by K9 Zeus' handler.K9 Zeus, who was not on a leash while searching the vehicle, then attacked the officer who had his gun drawn.The subject who assaulted K9 Zeus was charged with resisting arrest, auto theft, and assault and battery on a law enforcement animal.K9 Zeus had served with the Indianapolis Police Department for two months."
K9,Fax,German Shepherd,Male,,2002-04-23,Tuesday,Animal related,"Lake County Sheriff's Department, Indiana",Indiana,,,Charged,"K9 Fax died after being attacked by a pit bull while protecting his handler and another officer.The two officers were checking a wooded area commonly used to dump stolen vehicles when they observed a man sitting in a car. As they approached the subject the man suddenly turned on the lights and drove towards the officers, who ordered him to stop at gunpoint. As they attempted to talk to the subject, the man let his pitbull out of the vehicle. The pitbull was put back into the truck upon instructions from the officers.As the officers attempted to place the subject under arrest he began to struggle and again ordered the pitbull out of the truck. As it attempted to attack the officers, K9 Fax intercepted it kept it from the officers, but suffered serious injuries. Fax's handler was able to fatally shoot the pitbull. Fax was taken to animal hospital where he underwent surgery, but died a short time later from complications.K9 Fax had served with the Lake County Sheriff's Department for six years."
K9,Zucco,Belgian Malinois,Male,4.0,2002-10-30,Wednesday,Gunfire,"New Orleans Police Department, Louisiana",Louisiana,,Handgun,Charged with bank robbery,K9 Zucco was shot and killed while tracking two armed bank robbery suspects at a home near the intersection of Memphis Street and Walker Street.Officers with the Lakeshore Crime Prevention District spotted both suspects on foot in the 800 block of Turquoise Street. One suspect was arrested and the second suspect evaded officers during a foot pursuit. K9 Zucco quickly picked up the suspect's scent during a yard to yard track and lead police to the man hiding underneath a home. K9 Zucco was shot and killed as he went underneath the home in an attempt to apprehend the subject.The man remained barricaded underneath the home for several hours before surrendering.The man was charged with federal bank robbery offenses and charged under the state code sections for killing K9 Zucco.
K9,Jambo,German Shepherd,Male,10.0,2002-02-08,Friday,Assault,"San Leandro Police Department, California",California,8 years,Person,,"On February 7th, 2002, K9 Jambo's handler made a traffic stop on a theft suspect in East Oakland. The suspect fled on foot and was pursued by Jambo who caught up with the suspect attempting to jump over a fence. Jambo pulled down the suspect and detained him until the arrival of his handler. The suspect was then taken in to custody after a brief struggle.Jambo was taken to the vet the following day due to signs of being injured in the struggle. Jambo was found to have a ruptured spline which was not operable, he was euthanized that same day."
K9,Rudy,Belgian Malinois,Male,4.0,2002-04-19,Friday,Stabbed,"Oxnard Police Department, California",California,2 years,Edged weapon; Knife,Arrested,"K9 Rudy was stabbed to death while apprehending a suspect who fled on foot during a traffic stop.K9 Rudy had served with the Oxnard Police Department for two years and was credited with assisting with 3,000 arrests."
K9,Rik,Belgian Malinois,Male,2.0,2002-06-05,Wednesday,Gunfire,"Bonneville County Sheriff's Office, Idaho",Idaho,,Handgun,Committed suicide,K9 Rik was shot and killed while attempting to apprehend a subject who had abducted a 14-year-old girl.The girl was able to escape from the subject and provided authorities with information about the subject's identity. A warrant was obtained for the man and the SWAT team was mobilized to serve it.The subject was located and lead officers on a three-county pursuit before driving onto a dead-end Forest Service road. K9 Rik was deployed as the subject fled on foot. As Rik bit the subject the man pulled out a gun and shot him and a deputy. The man committed suicide as deputies returned fire.
K9,Rudi,Belgian Malinois,Male,2.0,2002-04-01,Monday,Automobile crash,"Las Vegas Metropolitan Police Department, Nevada",Nevada,,,,K9 Rudi succumbed to injuries sustained three days earlier when the police vehicle he was riding in was struck by another vehicle.K9 Rudi and his handler were responding to a request for assistance from the canine unit to track an armed man who had fled from police on foot. K9 Rudi's handler had the emergency equipment activated when the police vehicle was struck by another vehicle at the intersection of Nellis Boulevard and Stewart Avenue. K9 Rudi suffered a fractured and dislocated hip and was permanently paralyzed.  It was determined the best course of action was to euthanize her humanely.K9 Rudi had served with the Las Vegas Metropolitan Police Department for six months.
K9,Mark,Unknown Breed,Male,6.0,2002-05-19,Sunday,Struck by vehicle,"Osceola County Sheriff's Office, Florida",Florida,,,,"K9 Mark was struck and killed by a patrol car while attempting an apprehension on Jay Drive in St. Cloud, Florida.K9 Mark and his handler had responded to the area to assist deputies search for a subjected wanted for burglary and abduction. The man began to flee on foot from deputies and K9 Mark was released. The subject ran across Jay Drive and with K9 Mark in pursuit. As K9 Mark entered the roadway he was struck by a patrol car that was responding to assist with the foot pursuit.K9 Mark had served with the Osceola County Sheriff's Office for four years."
K9,Woodrow,German Shepherd,Male,5.0,2002-05-24,Friday,Heatstroke,"Philadelphia Police Department, Pennsylvania",Pennsylvania,,,,K9 Woodrow died of heat exhaustion after being accidentally left in his handler's patrol car outside of the canine unit headquarters at the Philadelphia Police Academy.
K9,Sgt. Don Vom Ederbergland,German Shepherd,Male,6.0,2002-01-01,Tuesday,Gunfire,"McLoud Police Department, Oklahoma",Oklahoma,,Rifle,Charged killing a police dog,"K9 Sgt. Don Vom Ederbergland, aka Sgt. Don, was shot and killed by a homeowner after the owner's pitbull attacked him.Sgt. Don and his handler were preparing to leave the handler's home for their shift when the pitbull broke loose from its chain and attacked them. Sgt. Don jumped from the patrol car and started chasing the pitbull back to the other property. His handler called him off and, as he returned to the handler, the pitbulls owner started shooting at Sgt. Don, the handler, and the handler's home with a semi-automatic rifle.Sgt. Don was taken to an emergency animal hospital where he died the following day. The man who shot him was charged with reckless handling of a firearm and killing a police dog.Sgt. Don had served with the McLoud Police Department for two years."
K9,Faro,German Shepherd,Male,4.0,2003-08-22,Friday,Gunfire,"Norfolk Police Department, Virginia",Virginia,2 years,Handgun,,"K9 Faro was shot and killed while attempting an apprehension on a robbery suspect in the 9300 block of 1st View Street.Faro was released after several suspects fled on foot as officers arrived on scene. The subject that Faro caught was able to pull out a handgun and fatally shot him. Officers returned fire, wounding the man.The subject was convicted of several charges and sentenced to 39 years in prison.K9 Faro had served with the Norfolk Police Department for two years."
K9,Ikon,German Shepherd,Male,8.0,2003-03-25,Tuesday,Struck by vehicle,"Everett Police Department, Washington",Washington,,,,"K9 Ikon was struck and killed by a vehicle on I-5, near 112th Street, while tracking a subject during a foot pursuit.The subject had been stopped for a traffic violation and then fled on foot after officers discovered he was wanted on a felony narcotics warrant. Ikon was released from his lead to track the subject through thick underbrush. As Ikon tracked the subject across I-5 he was struck by a vehicle.His handler transported him to a local veterinary clinic where he died shortly after midnight."
K9,Marko,Belgian Malinois,,9.0,2003-08-24,Sunday,Gunfire (Inadvertent),"Los Angeles County Sheriff's Department, California",California,6 years,Officer's weapon,Shot and killed,"K9 Marko was accidentally shot and killed while attempting to control a subject. Sheriff's deputies were confronting the subject who had threatened to kill them.  When Marko's handler released him to control the subject, the subject appeared to raise a weapon at the deputies.  The deputies opened fire, injuring K9 Marko and killing the subject.K9 Marko was airlifted to a veterinary hospital where he succumbed to his wounds."
K9,Alko,German Shepherd,Male,6.0,2003-04-20,Sunday,Stabbed,"Lee County Sheriff's Office, Florida",Florida,3 years,Edged weapon; Knife,Sentenced to 45 years,"K9 Alko died one day after being stabbed by a suspect he was attempting to apprehend in a wooded area near Edison Avenue.Deputies had responded to a prowler call and encountered a subject who began to act irrational. He attacked one of the responding deputies before leading them on a short vehicle pursuit. He abandoned his car and jumped in a canal. K9 Alko was released and attempted to apprehend the man, but the subject punched him and stabbed him before being taken into custody.The man was convicted of nine felony charges and sentenced to 45 years in prison.Alko was taken to a local veterinary hospital where he died the following day."
K9,Bryson,German Shepherd,Male,7.0,2003-01-24,Friday,Automobile crash,"Cattaraugus County Sheriff's Office, New York",New York,,,,"K9 Bryson was killed when the patrol car he was in was struck by a tractor-trailer at the scene of a previous crash on I-86, one-half mile west of Route 219.Two vehicles had crashed after hitting a patch of ice on a bridge over Ismuth Road. As K9 Bryson's handler investigated the crash a tractor-trailer entered the area and collided with the patrol car. K9 Bryson was killed and his handler was injured after being struck during the collision.K9 Bryson served as a narcotics detection canine."
